store_nbr,city,state,type,cluster
20,Quito,Pichincha,B,6
50,Ambato,Tungurahua,A,14
49,Quito,Pichincha,A,11
13,Latacunga,Cotopaxi,C,15
45,Quito,Pichincha,A,11
6,Quito,Pichincha,D,13
18,Quito,Pichincha,B,16
53,Manta,Manabi,D,13
4,Quito,Pichincha,D,9
33,Quevedo,Los Rios,C,3
14,Riobamba,Chimborazo,C,7
9,Quito,Pichincha,B,6
27,Daule,Guayas,D,1
7,Quito,Pichincha,D,8
35,Playas,Guayas,C,3
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4
38,Loja,Loja,D,4
25,Salinas,Santa Elena,D,1
46,Quito,Pichincha,A,14
34,Guayaquil,Guayas,B,6
51,Guayaquil,Guayas,A,17
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3
10,Quito,Pichincha,C,15
17,Quito,Pichincha,C,12
31,Babahoyo,Los Rios,B,10
37,Cuenca,Azuay,D,2
26,Guayaquil,Guayas,D,10
12,Latacunga,Cotopaxi,C,15
1,Quito,Pichincha,D,13
48,Quito,Pichincha,A,14
28,Guayaquil,Guayas,E,10
32,Guayaquil,Guayas,C,3
41,Machala,El Oro,D,4
30,Guayaquil,Guayas,C,3
47,Quito,Pichincha,A,14
2,Quito,Pichincha,D,13
22,Puyo,Pastaza,C,7
3,Quito,Pichincha,D,8
42,Cuenca,Azuay,D,2
40,Machala,El Oro,C,3
36,Libertad,Guayas,E,10
24,Guayaquil,Guayas,D,1
44,Quito,Pichincha,A,5
11,Cayambe,Pichincha,B,6
23,Ambato,Tungurahua,D,9
19,Guaranda,Bolivar,C,15
54,El Carmen,Manabi,C,3
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6
8,Quito,Pichincha,D,8
43,Esmeraldas,Esmeraldas,E,10
15,Ibarra,Imbabura,C,15
29,Guayaquil,Guayas,E,10
52,Manta,Manabi,A,11
39,Cuenca,Azuay,B,6
